Distance_(mm),Gray_Value
0.0000,46.037
0.0136,45.335
0.0271,45.037
0.0407,45.089
0.0543,45.679
0.0679,46.108
0.0814,46.324
0.0950,47.090
0.1086,47.921
0.1221,48.481
0.1357,48.591
0.1493,48.527
0.1629,48.398
0.1764,48.787
0.1900,48.898
0.2036,48.897
0.2172,48.758
0.2307,48.540
0.2443,48.358
0.2579,48.165
0.2714,48.032
0.2850,47.452
0.2986,47.330
0.3122,47.431
0.3257,47.771
0.3393,48.228
0.3529,48.761
0.3664,49.150
0.3800,49.466
0.3936,49.854
0.4072,50.200
0.4207,50.910
0.4343,51.467
0.4479,51.738
0.4615,51.818
0.4750,51.899
0.4886,52.026
0.5022,51.658
0.5157,51.037
0.5293,50.740
0.5429,50.863
0.5565,50.927
0.5700,50.818
0.5836,50.676
0.5972,50.631
0.6107,50.672
0.6243,50.719
0.6379,51.027
0.6515,51.463
0.6650,51.816
0.6786,51.952
0.6922,52.077
0.7058,52.019
0.7193,52.006
0.7329,51.780
0.7465,51.781
0.7600,52.026
0.7736,52.100
0.7872,52.245
0.8008,52.716
0.8143,53.229
0.8279,53.628
0.8415,53.976
0.8550,54.180
0.8686,54.295
0.8822,54.473
0.8958,54.625
0.9093,54.538
0.9229,54.545
0.9365,54.824
0.9500,55.077
0.9636,55.328
0.9772,55.477
0.9908,55.412
1.0043,55.392
1.0179,55.363
1.0315,55.273
1.0451,55.225
1.0586,55.074
1.0722,54.937
1.0858,54.972
1.0993,55.291
1.1129,55.273
1.1265,55.128
1.1401,55.255
1.1536,55.021
1.1672,54.842
1.1808,54.942
1.1943,54.676
1.2079,54.624
1.2215,54.700
1.2351,54.606
1.2486,54.642
1.2622,54.714
1.2758,54.770
1.2894,54.964
1.3029,55.126
1.3165,55.463
1.3301,55.764
1.3436,56.020
1.3572,56.290
1.3708,56.219
1.3844,56.169
1.3979,56.088
1.4115,56.439
1.4251,56.574
1.4386,56.696
1.4522,57.060
1.4658,57.383
1.4794,57.632
1.4929,57.467
1.5065,57.549
1.5201,57.616
1.5337,57.508
1.5472,57.242
1.5608,57.001
1.5744,56.840
1.5879,56.588
1.6015,56.313
1.6151,56.360
1.6287,56.302
1.6422,56.510
1.6558,57.047
1.6694,57.379
1.6829,57.647
1.6965,58.003
1.7101,58.241
1.7237,58.420
1.7372,58.410
1.7508,58.624
1.7644,58.918
1.7779,59.109
1.7915,59.427
1.8051,59.715
1.8187,60.333
1.8322,60.914
1.8458,61.722
1.8594,62.994
1.8730,64.244
1.8865,64.960
1.9001,65.472
1.9137,65.995
1.9272,66.313
1.9408,66.155
1.9544,66.069
1.9680,66.048
1.9815,66.078
1.9951,66.099
2.0087,66.153
2.0222,66.397
2.0358,66.748
2.0494,66.922
2.0630,66.743
2.0765,66.833
2.0901,66.848
2.1037,66.934
2.1173,67.019
2.1308,67.206
2.1444,67.510
2.1580,67.411
2.1715,67.308
2.1851,67.290
2.1987,67.386
2.2123,67.431
2.2258,67.533
2.2394,67.794
2.2530,68.010
2.2665,68.179
2.2801,68.403
2.2937,68.810
2.3073,69.306
2.3208,69.642
2.3344,69.917
2.3480,69.857
2.3616,69.809
2.3751,69.574
2.3887,69.350
2.4023,69.197
2.4158,69.229
2.4294,69.193
2.4430,69.198
2.4566,69.203
2.4701,69.225
2.4837,69.390
2.4973,69.373
2.5108,69.218
2.5244,68.885
2.5380,68.692
2.5516,68.348
2.5651,68.078
2.5787,68.044
2.5923,68.132
2.6058,68.208
2.6194,68.353
2.6330,68.367
2.6466,68.427
2.6601,68.429
2.6737,68.340
2.6873,68.465
2.7009,68.275
2.7144,68.140
2.7280,68.216
2.7416,68.570
2.7551,68.654
2.7687,68.627
2.7823,68.462
2.7959,68.344
2.8094,68.220
2.8230,68.320
2.8366,68.237
2.8501,68.046
2.8637,67.561
2.8773,67.372
2.8909,66.883
2.9044,66.621
