Distance_(mm),Gray_Value
0.0000,48.594
0.0241,49.088
0.0482,49.416
0.0723,49.478
0.0964,50.126
0.1205,50.639
0.1446,51.161
0.1687,51.547
0.1928,51.775
0.2169,51.885
0.2410,51.810
0.2651,51.652
0.2892,51.660
0.3133,52.048
0.3374,52.693
0.3616,52.884
0.3857,52.783
0.4098,52.958
0.4339,52.848
0.4580,52.762
0.4821,52.509
0.5062,52.349
0.5303,52.354
0.5544,52.374
0.5785,52.107
0.6026,51.841
0.6267,51.816
0.6508,51.870
0.6749,51.788
0.6990,51.677
0.7231,51.624
0.7472,51.595
0.7713,51.405
0.7954,51.174
0.8195,50.968
0.8436,50.820
0.8677,50.774
0.8918,51.099
0.9159,51.425
0.9400,51.586
0.9641,51.855
0.9882,51.825
1.0123,51.761
1.0364,51.952
1.0605,52.451
1.0847,53.146
1.1088,54.277
1.1329,54.873
1.1570,55.129
1.1811,55.130
1.2052,55.109
1.2293,55.192
1.2534,55.259
1.2775,55.476
1.3016,55.810
1.3257,55.811
1.3498,55.823
1.3739,55.985
1.3980,56.078
1.4221,55.928
1.4462,56.101
1.4703,56.391
1.4944,56.448
1.5185,56.246
1.5426,56.320
1.5667,56.279
1.5908,55.943
1.6149,55.903
1.6390,56.013
1.6631,56.085
1.6872,55.850
1.7113,55.893
1.7354,56.085
1.7595,56.290
1.7837,56.403
1.8078,56.496
1.8319,56.427
1.8560,56.393
1.8801,56.246
1.9042,56.184
1.9283,55.944
1.9524,55.710
1.9765,55.679
2.0006,55.570
2.0247,55.715
2.0488,55.822
2.0729,55.793
2.0970,56.079
2.1211,56.306
2.1452,56.248
2.1693,56.358
2.1934,56.726
2.2175,56.944
2.2416,57.046
2.2657,57.441
2.2898,58.034
2.3139,58.370
2.3380,58.777
2.3621,59.398
2.3862,60.006
2.4103,60.613
2.4344,61.308
2.4585,61.488
2.4826,61.245
2.5068,61.074
2.5309,61.102
2.5550,61.153
2.5791,61.224
2.6032,61.342
2.6273,61.366
2.6514,61.732
2.6755,62.225
2.6996,62.188
2.7237,61.912
2.7478,62.011
2.7719,62.051
2.7960,62.215
2.8201,62.241
2.8442,61.965
2.8683,61.903
2.8924,61.939
2.9165,61.782
2.9406,61.712
2.9647,62.018
2.9888,62.095
3.0129,61.898
3.0370,61.610
3.0611,61.378
3.0852,61.208
3.1093,61.138
3.1334,60.915
3.1575,60.710
3.1816,60.365
3.2057,60.263
3.2299,60.294
3.2540,60.293
3.2781,60.424
3.3022,60.877
3.3263,61.405
3.3504,61.446
3.3745,61.318
3.3986,62.008
3.4227,62.595
3.4468,62.906
3.4709,63.819
3.4950,65.240
3.5191,66.284
3.5432,66.659
3.5673,67.383
3.5914,68.102
3.6155,68.560
3.6396,68.988
3.6637,69.573
3.6878,69.915
3.7119,70.181
3.7360,70.843
3.7601,71.376
3.7842,71.980
3.8083,72.820
3.8324,73.302
3.8565,73.611
3.8806,73.750
3.9047,74.103
3.9289,74.410
3.9530,74.441
3.9771,74.264
4.0012,74.131
4.0253,73.953
4.0494,73.772
4.0735,73.651
4.0976,73.701
4.1217,73.694
