Distance_(mm),Gray_Value
0.00000,17.948
0.02392,18.034
0.04783,18.342
0.07175,19.026
0.09567,19.155
0.11958,19.283
0.14350,19.636
0.16742,20.365
0.19134,21.266
0.21525,22.164
0.23917,23.052
0.26309,23.918
0.28700,24.464
0.31092,24.907
0.33484,25.247
0.35875,25.830
0.38267,25.902
0.40659,25.808
0.43050,26.059
0.45442,26.808
0.47834,27.111
0.50225,26.917
0.52617,27.039
0.55009,27.320
0.57401,27.851
0.59792,27.948
0.62184,27.921
0.64576,27.870
0.66967,28.014
0.69359,28.134
0.71751,28.729
0.74142,28.781
0.76534,28.817
0.78926,28.697
0.81317,28.795
0.83709,29.683
0.86101,31.422
0.88492,32.460
0.90884,33.954
0.93276,35.438
0.95667,36.753
0.98059,37.899
1.00451,40.829
1.02843,45.225
1.05234,51.023
1.07626,54.750
1.10018,56.704
1.12409,59.580
1.14801,62.822
1.17193,64.354
1.19584,64.499
1.21976,65.902
1.24368,68.040
1.26759,68.065
1.29151,67.960
1.31543,69.211
1.33934,70.323
1.36326,71.291
1.38718,71.942
1.41110,74.390
1.43501,77.332
1.45893,80.128
1.48285,83.506
1.50676,86.477
1.53068,88.650
1.55460,89.936
1.57851,92.499
1.60243,95.731
1.62635,99.876
1.65026,99.755
1.67418,96.062
1.69810,93.307
1.72202,89.553
1.74593,85.403
1.76985,85.461
1.79377,84.774
1.81768,83.663
1.84160,82.196
1.86552,79.868
1.88943,78.117
1.91335,78.324
1.93727,79.698
1.96118,80.872
1.98510,83.045
2.00902,85.161
2.03293,88.323
2.05685,93.942
2.08077,100.426
2.10469,104.141
2.12860,105.189
2.15252,107.463
2.17644,109.456
2.20035,112.774
2.22427,118.607
2.24819,124.708
2.27210,130.961
2.29602,135.956
2.31994,139.243
2.34385,139.754
2.36777,140.759
2.39169,142.569
2.41560,144.180
2.43952,149.342
2.46344,157.511
2.48735,159.530
2.51127,160.401
2.53519,163.441
2.55911,165.372
2.58302,167.561
2.60694,170.693
2.63086,173.549
2.65477,175.140
2.67869,176.094
2.70261,177.375
2.72652,178.596
2.75044,177.963
2.77436,176.447
2.79827,175.260
2.82219,174.173
2.84611,171.710
2.87003,168.404
2.89394,168.121
2.91786,168.440
2.94178,169.125
2.96569,170.888
2.98961,171.394
3.01353,173.538
3.03744,176.410
3.06136,177.942
3.08528,179.338
3.10919,181.253
3.13311,183.931
3.15703,185.568
3.18094,186.064
3.20486,186.406
3.22878,188.749
3.25270,189.913
3.27661,189.469
3.30053,188.691
3.32445,188.564
3.34836,188.798
3.37228,189.263
3.39620,188.333
3.42011,189.439
3.44403,195.977
3.46795,195.401
3.49186,193.470
3.51578,192.403
3.53970,189.056
3.56361,191.354
3.58753,195.705
3.61145,191.122
3.63537,194.113
3.65928,196.408
3.68320,196.385
3.70712,208.589
3.73103,214.774
3.75495,217.082
3.77887,223.476
3.80278,229.477
3.82670,238.795
3.85062,240.896
3.87453,242.087
3.89845,243.570
3.92237,246.349
3.94628,247.124
3.97020,246.709
3.99412,249.165
4.01803,251.351
4.04195,252.556
4.06587,252.949
4.08979,253.074
4.11370,252.923
4.13762,253.784
4.16154,254.224
4.18545,254.224
4.20937,254.024
4.23329,253.630
4.25720,253.921
4.28112,254.070
4.30504,254.237
4.32895,254.160
4.35287,254.302
4.37679,254.081
4.40070,252.500
