Distance_(m),Gray_Value
0.0000000,35.0000
0.0002461,35.0000
0.0004921,35.0000
0.0007382,35.0000
0.0009843,35.0000
0.0012303,35.0000
0.0014764,35.0000
0.0017225,35.0000
0.0019685,35.0000
0.0022146,35.0000
0.0024606,35.0000
0.0027067,35.0000
0.0029528,35.0000
0.0031988,35.0000
0.0034449,35.0000
0.0036910,35.0000
0.0039370,35.0000
0.0041831,35.0000
0.0044292,35.0000
0.0046752,35.0000
0.0049213,35.0000
0.0051674,35.0000
0.0054134,35.0000
0.0056595,35.0000
0.0059056,35.0000
0.0061516,35.1034
0.0063977,36.8959
0.0066438,37.0000
0.0068898,37.0000
0.0071359,37.0517
0.0073819,37.2910
0.0076280,37.6012
0.0078741,37.6363
0.0081201,37.7924
0.0083662,40.4813
0.0086123,40.6884
0.0088583,41.2557
0.0091044,41.7002
0.0093505,43.3620
0.0095965,43.2462
0.0098426,42.5565
0.0100887,42.5870
0.0103347,43.0248
0.0105808,43.1073
0.0108269,43.3229
0.0110729,43.2562
0.0113190,44.6027
0.0115650,44.7273
0.0118111,44.7273
0.0120572,44.8312
0.0123032,46.3922
0.0125493,46.4546
0.0127954,46.5063
0.0130414,47.4028
0.0132875,48.6950
0.0135336,50.1922
0.0137796,50.3736
0.0140257,50.4557
0.0142718,51.4712
0.0145178,51.6630
0.0147639,53.2869
0.0150100,53.6090
0.0152560,54.9509
0.0155021,55.2132
0.0157482,56.8248
0.0159942,56.9417
0.0162403,57.7788
0.0164863,57.8446
0.0167324,57.9625
0.0169785,59.1500
0.0172245,59.2035
0.0174706,59.9006
0.0177167,60.7842
0.0179627,60.7069
0.0182088,61.7105
0.0184549,62.1416
0.0187009,63.4890
0.0189470,64.0002
0.0191931,65.6168
0.0194391,65.8690
0.0196852,67.3535
0.0199313,67.1907
0.0201773,68.4778
0.0204234,68.3965
0.0206694,68.8622
0.0209155,69.9311
0.0211616,72.0291
0.0214076,73.0210
0.0216537,73.7575
0.0218998,73.6386
0.0221458,73.7177
0.0223919,73.7416
0.0226380,74.5404
0.0228840,74.6727
0.0231301,76.3752
0.0233762,76.3516
0.0236222,76.6622
0.0238683,76.3670
0.0241144,76.9292
0.0243604,77.5285
0.0246065,78.7210
0.0248526,79.3199
0.0250986,80.8666
0.0253447,81.0963
0.0255907,80.0174
0.0258368,79.9089
0.0260829,80.9034
0.0263289,80.1610
0.0265750,80.1513
0.0268211,81.3776
0.0270671,79.8816
0.0273132,80.0233
0.0275593,80.1379
0.0278053,79.5212
0.0280514,79.0006
0.0282975,78.9944
0.0285435,79.7735
0.0287896,79.0179
0.0290357,77.4392
0.0292817,75.8095
0.0295278,75.8835
0.0297738,76.6529
0.0300199,76.0088
0.0302660,74.7488
0.0305120,73.7962
0.0307581,73.0044
0.0310042,72.3247
0.0312502,72.2957
0.0314963,71.9545
0.0317424,71.4962
0.0319884,70.4432
0.0322345,70.4658
0.0324806,70.5654
0.0327266,69.8652
0.0329727,68.3413
0.0332188,67.1898
0.0334648,66.9715
0.0337109,66.7262
0.0339570,66.2088
0.0342030,65.7229
0.0344491,64.3196
0.0346951,63.5465
0.0349412,63.6664
0.0351873,63.0037
0.0354333,61.8874
0.0356794,61.6063
0.0359255,61.3063
0.0361715,61.2964
0.0364176,60.8826
0.0366637,59.3959
0.0369097,58.2499
0.0371558,56.9002
0.0374019,56.7920
0.0376479,56.7091
0.0378940,55.6336
0.0381401,55.0433
0.0383861,54.2322
0.0386322,53.5102
0.0388782,52.4576
0.0391243,51.8278
0.0393704,50.8037
0.0396164,50.6101
0.0398625,49.5570
0.0401086,49.4459
0.0403546,48.9781
0.0406007,47.7297
0.0408468,46.5454
0.0410928,45.4134
0.0413389,44.9104
0.0415850,44.6285
0.0418310,43.7709
0.0420771,43.7423
0.0423232,43.5058
0.0425692,43.3324
0.0428153,43.2985
0.0430614,43.3125
0.0433074,42.5080
0.0435535,42.2884
0.0437995,41.7814
0.0440456,41.7833
0.0442917,41.5512
0.0445377,40.7982
0.0447838,40.2949
0.0450299,39.3097
0.0452759,39.0066
0.0455220,38.8669
0.0457681,38.0000
0.0460141,38.0000
0.0462602,38.0000
0.0465063,37.9537
0.0467523,37.6657
0.0469984,37.6660
0.0472445,37.6662
0.0474905,37.5778
0.0477366,37.0404
0.0479826,36.9825
0.0482287,37.0373
0.0484748,36.3836
0.0487208,36.2808
0.0489669,35.1041
0.0492130,35.0000
0.0494590,35.0000
0.0497051,35.0000
0.0499512,35.0000
0.0501972,35.0000
0.0504433,35.0000
0.0506894,35.0000
0.0509354,35.0000
0.0511815,35.0000
0.0514276,35.0000
0.0516736,35.0000
0.0519197,35.0000
0.0521658,35.0000
